"id","user_id","product_id","rating","review_text"
"1","796","630","4","Review produk nomor 1"
"2","6","1","2","Review produk nomor 2"
"3","276","147","1","Review produk nomor 3"
"4","673","401","4","Review produk nomor 4"
"5","610","715","4","Review produk nomor 5"
"6","807","310","2","Review produk nomor 6"
"7","797","822","5","Review produk nomor 7"
"8","616","128","4","Review produk nomor 8"
"9","396","370","4","Review produk nomor 9"
"10","482","118","5","Review produk nomor 10"
"11","587","838","5","Review produk nomor 11"
"12","33","467","1","Review produk nomor 12"
"13","276","526","4","Review produk nomor 13"
"14","689","797","2","Review produk nomor 14"
"15","998","255","5","Review produk nomor 15"
"16","438","536","3","Review produk nomor 16"
"17","471","502","5","Review produk nomor 17"
"18","359","432","1","Review produk nomor 18"
"19","844","522","2","Review produk nomor 19"
"20","398","231","1","Review produk nomor 20"
"21","796","895","4","Review produk nomor 21"
"22","872","18","5","Review produk nomor 22"
"23","618","76","1","Review produk nomor 23"
"24","843","210","1","Review produk nomor 24"
"25","575","794","2","Review produk nomor 25"
"26","237","784","3","Review produk nomor 26"
"27","512","827","1","Review produk nomor 27"
"28","782","93","5","Review produk nomor 28"
"29","160","473","1","Review produk nomor 29"
"30","438","30","5","Review produk nomor 30"
"31","384","584","2","Review produk nomor 31"
"32","937","3","5","Review produk nomor 32"
"33","72","832","1","Review produk nomor 33"
"34","506","735","3","Review produk nomor 34"
"35","528","589","1","Review produk nomor 35"
"36","41","639","2","Review produk nomor 36"
"37","216","817","3","Review produk nomor 37"
"38","511","250","3","Review produk nomor 38"
"39","817","603","1","Review produk nomor 39"
"40","708","727","4","Review produk nomor 40"
"41","963","60","5","Review produk nomor 41"
"42","6","435","5","Review produk nomor 42"
"43","199","759","5","Review produk nomor 43"
"44","782","833","5","Review produk nomor 44"
"45","739","777","4","Review produk nomor 45"
"46","84","657","1","Review produk nomor 46"
"47","991","759","1","Review produk nomor 47"
"48","310","657","1","Review produk nomor 48"
"49","703","45","2","Review produk nomor 49"
"50","208","452","4","Review produk nomor 50"
"51","806","882","5","Review produk nomor 51"
"52","986","712","3","Review produk nomor 52"
"53","328","335","3","Review produk nomor 53"
"54","819","421","1","Review produk nomor 54"
"55","622","356","4","Review produk nomor 55"
"56","831","869","1","Review produk nomor 56"
"57","641","880","5","Review produk nomor 57"
"58","843","37","2","Review produk nomor 58"
"59","933","325","1","Review produk nomor 59"
"60","262","225","3","Review produk nomor 60"
"61","613","449","3","Review produk nomor 61"
"62","351","495","5","Review produk nomor 62"
"63","125","517","2","Review produk nomor 63"
"64","338","760","5","Review produk nomor 64"
"65","789","397","3","Review produk nomor 65"
"66","977","472","5","Review produk nomor 66"
"67","640","740","2","Review produk nomor 67"
"68","777","639","4","Review produk nomor 68"
"69","406","120","4","Review produk nomor 69"
"70","772","184","3","Review produk nomor 70"
"71","250","636","4","Review produk nomor 71"
"72","812","163","5","Review produk nomor 72"
"73","757","5","1","Review produk nomor 73"
"74","303","265","3","Review produk nomor 74"
"75","666","684","3","Review produk nomor 75"
"76","41","313","5","Review produk nomor 76"
"77","370","436","3","Review produk nomor 77"
"78","575","872","3","Review produk nomor 78"
"79","855","612","5","Review produk nomor 79"
"80","669","23","2","Review produk nomor 80"
"81","662","806","5","Review produk nomor 81"
"82","342","473","3","Review produk nomor 82"
"83","635","310","4","Review produk nomor 83"
"84","469","414","3","Review produk nomor 84"
"85","705","780","1","Review produk nomor 85"
"86","79","670","1","Review produk nomor 86"
"87","518","770","2","Review produk nomor 87"
"88","572","913","3","Review produk nomor 88"
"89","406","294","3","Review produk nomor 89"
"90","71","551","5","Review produk nomor 90"
"91","472","807","5","Review produk nomor 91"
"92","651","73","5","Review produk nomor 92"
"93","490","507","1","Review produk nomor 93"
"94","942","681","4","Review produk nomor 94"
"95","730","536","1","Review produk nomor 95"
"96","783","236","1","Review produk nomor 96"
"97","265","523","4","Review produk nomor 97"
"98","393","921","2","Review produk nomor 98"
"99","590","848","1","Review produk nomor 99"
"100","671","74","2","Review produk nomor 100"
"101","606","940","5","Review produk nomor 101"
"102","982","894","2","Review produk nomor 102"
"103","34","250","1","Review produk nomor 103"
"104","932","716","1","Review produk nomor 104"
"105","179","910","5","Review produk nomor 105"
